id,override,title,description
MM-BOX-001,zh_CN,星尘麻糬礼盒,六颗手工麻糬，草莓、抹茶与黑芝麻口味。
MM-DRINK-001,zh_CN,月光抹茶,仪式级抹茶，佐以草莓月色奶盖。
MM-CROFFLE-001,zh_CN,彗星可颂松饼,麻糬可颂松饼，佐香草星云奶油与鲜果。
MM-ICE-001,zh_CN,极光麻糬冰淇淋,麻糬包裹的冰淇淋，融化时色彩流转。
MM-DRINK-002,zh_CN,流星黑糖奶茶,黑糖奶茶，珍珠如流星般沉入杯底。
MM-CAKE-001,zh_CN,陨石坑芝士蛋糕,香柚烤芝士蛋糕，撒上酥饼碎屑。
MM-BOX-001,ms_MY,Kotak Mochi Debu Bintang,"Enam mochi buatan tangan berperisa strawberi, matcha dan bijan hitam."
MM-DRINK-001,ms_MY,Matcha Purnama,Matcha gred upacara dengan buih bulan strawberi.
MM-CROFFLE-001,ms_MY,Croffle Komet,Croffle mochi dengan krim nebula vanila dan buah-buahan.
MM-ICE-001,ms_MY,Aiskrim Mochi Aurora,Aiskrim berbalut mochi yang bertukar warna ketika cair.
MM-DRINK-002,ms_MY,Teh Susu Meteor,Teh susu gula perang dengan mutiara yang meluncur ke dasar.
MM-CAKE-001,ms_MY,Kek Keju Kawah,Kek keju yuzu bakar bertaburan serbuk biskut hancur.
